#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  15700      3.39e-01    9.47e-02      3.84e-03    4.94e-03      5.19e-02    1.39e-02    4.2e-05
  15800      3.26e-01    5.27e-02      4.67e-03    1.72e-03      4.98e-02    7.94e-03    4.2e-05
  15900      2.80e-01    1.58e-01      1.38e-03    1.32e-03      4.29e-02    2.42e-02    4.2e-05
  16000      2.40e-01    3.14e-02      1.59e-03    2.12e-03      3.87e-02    4.70e-03    3.8e-05
  16100      2.85e-01    1.76e-01      3.53e-03    3.27e-03      4.59e-02    2.82e-02    3.8e-05
  16200      3.69e-01    1.16e-02      2.16e-03    1.21e-03      5.94e-02    1.53e-03    3.8e-05
  16300      2.89e-01    7.45e-02      8.18e-03    4.83e-03      4.60e-02    1.12e-02    3.8e-05
  16400      3.04e-01    8.77e-02      3.35e-03    3.37e-03      4.89e-02    1.38e-02    3.8e-05
  16500      2.98e-01    3.03e-02      5.46e-03    2.58e-03      5.01e-02    4.52e-03    3.4e-05
  16600      2.87e-01    1.19e-02      2.76e-03    1.58e-03      4.86e-02    1.35e-03    3.4e-05
  16700      2.51e-01    1.11e-02      1.72e-03    1.12e-03      4.25e-02    1.55e-03    3.4e-05
  16800      2.79e-01    4.66e-02      1.77e-03    1.06e-03      4.73e-02    7.83e-03    3.4e-05
  16900      2.96e-01    2.47e-02      5.43e-03    1.56e-03      4.99e-02    3.91e-03    3.4e-05
  17000      3.14e-01    5.38e-02      1.81e-03    1.15e-03      5.58e-02    9.51e-03    3.1e-05
  17100      2.71e-01    7.26e-02      1.43e-03    5.24e-03      4.82e-02    1.18e-02    3.1e-05
  17200      3.03e-01    2.12e-02      3.37e-03    1.16e-03      5.39e-02    3.60e-03    3.1e-05
  17300      3.11e-01    4.18e-02      2.06e-03    1.14e-03      5.53e-02    7.36e-03    3.1e-05
  17400      2.96e-01    4.42e-02      2.58e-03    2.08e-03      5.26e-02    7.59e-03    3.1e-05
  17500      2.59e-01    4.52e-02      2.07e-03    2.62e-03      4.85e-02    8.01e-03    2.8e-05
  17600      2.57e-01    1.35e-01      1.42e-03    2.17e-03      4.81e-02    2.52e-02    2.8e-05
  17700      2.14e-01    1.29e-01      5.01e-03    5.60e-03      3.97e-02    2.34e-02    2.8e-05
  17800      1.96e-01    8.86e-02      2.69e-03    3.79e-03      3.65e-02    1.61e-02    2.8e-05
  17900      2.47e-01    2.67e-02      9.15e-04    1.25e-03      4.63e-02    4.82e-03    2.8e-05
  18000      2.60e-01    1.21e-01      3.27e-03    2.81e-03      5.09e-02    2.36e-02    2.5e-05
  18100      2.27e-01    3.57e-02      5.43e-03    2.43e-03      4.42e-02    6.50e-03    2.5e-05
  18200      2.76e-01    4.27e-02      3.49e-03    1.92e-03      5.42e-02    8.13e-03    2.5e-05
  18300      2.76e-01    1.24e-01      4.15e-03    2.18e-03      5.41e-02    2.42e-02    2.5e-05
  18400      2.79e-01    6.29e-02      1.84e-03    4.16e-04      5.48e-02    1.23e-02    2.5e-05
  18500      2.77e-01    3.25e-02      1.63e-03    2.12e-03      5.72e-02    6.25e-03    2.2e-05
  18600      2.33e-01    5.22e-02      4.64e-03    5.10e-03      4.78e-02    9.03e-03    2.2e-05
  18700      2.88e-01    4.33e-02      5.54e-03    1.29e-03      5.89e-02    8.82e-03    2.2e-05
  18800      2.63e-01    2.37e-02      2.66e-03    2.84e-03      5.42e-02    3.63e-03    2.2e-05
  18900      2.16e-01    3.84e-02      1.94e-03    3.48e-03      4.46e-02    6.84e-03    2.2e-05
  19000      2.67e-01    4.02e-02      7.29e-03    6.42e-03      5.71e-02    3.88e-03    2.0e-05
  19100      2.39e-01    5.30e-02      1.05e-03    1.93e-03      5.18e-02    1.13e-02    2.0e-05
  19200      2.29e-01    2.86e-02      3.32e-03    3.01e-04      4.96e-02    6.18e-03    2.0e-05
  19300      2.42e-01    3.65e-02      8.08e-03    6.28e-03      5.13e-02    2.14e-03    2.0e-05
  19400      2.42e-01    4.25e-02      5.00e-03    1.31e-03      5.22e-02    9.09e-03    2.0e-05
  19500      2.23e-01    1.27e-01      1.82e-03    6.96e-03      5.06e-02    2.74e-02    1.8e-05
  19600      2.90e-01    4.59e-02      4.83e-03    1.30e-03      6.56e-02    1.03e-02    1.8e-05
  19700      2.89e-01    1.94e-02      2.02e-03    8.17e-04      6.57e-02    4.29e-03    1.8e-05
  19800      2.43e-01    1.34e-01      2.27e-03    1.82e-03      5.52e-02    3.04e-02    1.8e-05
  19900      1.94e-01    1.47e-02      2.75e-03    1.34e-03      4.40e-02    2.89e-03    1.8e-05
  20000      1.92e-01    3.28e-02      2.20e-03    1.15e-03      4.59e-02    7.67e-03    1.7e-05
  20100      2.05e-01    2.32e-02      3.25e-03    1.35e-03      4.87e-02    5.23e-03    1.7e-05
  20200      1.99e-01    1.04e-01      1.59e-03    2.57e-03      4.74e-02    2.46e-02    1.7e-05
  20300      1.92e-01    2.46e-02      2.75e-03    1.29e-03      4.56e-02    5.63e-03    1.7e-05
  20400      1.75e-01    1.18e-01      5.53e-03    1.33e-02      4.11e-02    2.17e-02    1.7e-05
  20500      1.99e-01    1.37e-02      1.72e-03    1.77e-03      4.99e-02    2.37e-03    1.5e-05
  20600      2.22e-01    3.79e-02      4.19e-03    1.12e-03      5.52e-02    9.38e-03    1.5e-05
  20700      2.17e-01    9.02e-02      2.04e-03    1.39e-03      5.43e-02    2.25e-02    1.5e-05
  20800      2.09e-01    3.92e-02      1.44e-03    1.08e-03      5.25e-02    9.71e-03    1.5e-05
  20900      1.70e-01    2.69e-02      2.29e-03    1.70e-03      4.25e-02    6.31e-03    1.5e-05
  21000      1.78e-01    8.68e-02      1.71e-03    3.56e-03      4.66e-02    2.22e-02    1.3e-05
